tax_id,ncbi_name,ncbi_rank,species_tax_id,species_name,mapping_source
33903,Streptomyces avermitilis,species,33903.0,Streptomyces avermitilis,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
33905,Bifidobacterium thermophilum,species,33905.0,Bifidobacterium thermophilum,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
33945,Enterococcus avium,species,33945.0,Enterococcus avium,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
33953,Clostridium aminobutyricum,species,33953.0,Clostridium aminobutyricum,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
33959,Lactobacillus johnsonii,species,33959.0,Lactobacillus johnsonii,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
33966,Leuconostoc mesenteroides subsp. dextranicum,subspecies,1245.0,Leuconostoc mesenteroides,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
34356,Kodamaea ohmeri,species,34356.0,Kodamaea ohmeri,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
34386,Trichophyton schoenleinii,species,34386.0,Trichophyton schoenleinii,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
34387,Trichophyton tonsurans,species,34387.0,Trichophyton tonsurans,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
34388,Trichophyton violaceum,species,34388.0,Trichophyton violaceum,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
34391,Epidermophyton floccosum,species,34391.0,Epidermophyton floccosum,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
34393,Microsporum audouinii,species,34393.0,Microsporum audouinii,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
34406,Colletotrichum destructivum,species,34406.0,Colletotrichum destructivum,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
35519,Mogibacterium timidum,species,35519.0,Mogibacterium timidum,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
35703,Citrobacter amalonaticus,species,35703.0,Citrobacter amalonaticus,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
35725,Macrophomina phaseolina,species,35725.0,Macrophomina phaseolina,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
35833,Bilophila wadsworthia,species,35833.0,Bilophila wadsworthia,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
36015,Pichia kluyveri,species,36015.0,Pichia kluyveri,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
36035,Saccharomycodes ludwigii,species,36035.0,Saccharomycodes ludwigii,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
36043,Lipomyces lipofer,species,36043.0,Lipomyces lipofer,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
36050,Fusarium poae,species,36050.0,Fusarium poae,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
36080,Mucor circinelloides,species,36080.0,Mucor circinelloides,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
